"SITE_ID","YEAR","WEEK","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"ROM406","2016.0","13.0","03/22/2016 09:00:00","03/29/2016 08:00:00","0.17","0.299","0.182","0.22","0.399","0.12","0.077","0.026","0.012","0.012","0.013"
"ROM406","2017.0","12.0","03/21/2017 09:00:00","03/28/2017 08:00:00","0.314","0.36","0.576","0.372","0.942","0.246","0.106","0.017","0.011","0.018","0.013"
"ROM406","2015.0","14.0","03/31/2015 09:00:00","04/07/2015 08:00:00","0.213","0.66","0.399","0.297","0.692","0.23","0.311","0.118","0.039","0.034","0.041"
"ROM406","2014.0","10.0","03/04/2014 09:00:00","03/11/2014 08:00:00","0.113","0.261","0.104","0.151","0.252","0.094","0.064","0.021","0.01","0.013","0.013"
"ROM406","2015.0","10.0","03/03/2015 09:00:00","03/10/2015 08:00:00","0.382","0.583","0.322","0.427","0.743","0.235","0.142","0.048","0.026","0.026","0.013"
"ROM406","2014.0","11.0","03/11/2014 09:00:00","03/18/2014 08:00:00","0.151","0.275","0.107","0.157","0.261","0.1","0.084","0.035","0.012","0.012","0.017"
"ROM406","2018.0","13.0","03/27/2018 09:00:00","04/03/2018 08:00:00","0.102","0.415","0.225","0.318","0.538","0.127","0.173","0.043","0.026","0.023","0.013"
"ROM406","2018.0","11.0","03/13/2018 09:00:00","03/20/2018 08:00:00","0.144","0.302","0.273","0.458","0.724","0.149","0.083","0.025","0.011","0.015","0.013"
"ROM406","2018.0","10.0","03/06/2018 09:00:00","03/13/2018 08:00:00","0.17","0.243","0.294","0.255","0.545","0.143","0.065","0.023","0.011","0.017","0.013"
"ROM406","2016.0","14.0","03/29/2016 09:00:00","04/05/2016 08:00:00","0.197","0.264","0.088","0.274","0.357","0.117","0.044","0.013","0.008","0.008","0.014"
"ROM406","2018.0","12.0","03/20/2018 09:00:00","03/27/2018 08:00:00","0.098","0.279","0.254","0.199","0.45","0.135","0.084","0.02","0.014","0.013","0.013"
"ROM406","2013.0","13.0","03/26/2013 09:00:00","04/02/2013 08:00:00","0.138","0.691","0.522","0.403","0.918","0.262","0.141","0.034","0.024","0.025","0.013"
"ROM406","2014.0","12.0","03/18/2014 09:00:00","03/25/2014 08:00:00","0.217","0.639","0.49","0.244","0.73","0.314","0.109","0.023","0.015","0.017","0.014"
"ROM406","2016.0","10.0","03/01/2016 09:00:00","03/08/2016 08:00:00","0.169","0.258","0.158","0.173","0.328","0.076","0.103","0.053","0.013","0.016","0.013"
"ROM406","2016.0","11.0","03/08/2016 09:00:00","03/15/2016 08:00:00","0.174","0.266","0.122","0.378","0.493","0.106","0.065","0.014","0.008","0.009","0.013"
"ROM406","2017.0","10.0","03/07/2017 09:00:00","03/14/2017 08:00:00","0.351","0.264","0.152","0.29","0.438","0.109","0.073","0.019","0.011","0.019","0.013"
"ROM406","2013.0","12.0","03/19/2013 09:00:00","03/26/2013 08:00:00","0.194","0.857","0.239","0.139","0.376","0.287","0.09","0.035","0.018","0.021","0.013"
"ROM406","2014.0","13.0","03/25/2014 09:00:00","04/01/2014 08:00:00","0.166","0.516","0.171","0.251","0.419","0.2","0.109","0.019","0.014","0.02","0.013"
"ROM406","2013.0","11.0","03/12/2013 09:00:00","03/19/2013 08:00:00","0.13","0.435","0.238","0.27","0.504","0.144","0.135","0.043","0.022","0.022","0.013"
"ROM406","2016.0","12.0","03/15/2016 09:00:00","03/22/2016 08:00:00","0.166","0.342","0.13","0.265","0.391","0.142","0.065","0.018","0.01","0.012","0.013"
"ROM406","2017.0","13.0","03/28/2017 09:00:00","04/04/2017 08:00:00","0.213","0.169","0.068","0.199","0.264","0.067","0.029","0.009","0.004","0.007","0.013"
"ROM406","2017.0","11.0","03/14/2017 09:00:00","03/21/2017 08:00:00","0.57","0.559","0.159","0.344","0.497","0.217","0.117","0.033","0.015","0.025","0.013"
"ROM406","2015.0","13.0","03/24/2015 09:00:00","03/31/2015 08:00:00","0.282","0.258","0.095","0.229","0.32","0.101","0.11","0.023","0.014","0.012","0.013"
"ROM406","2015.0","12.0","03/17/2015 09:00:00","03/24/2015 08:00:00","0.269","0.46","0.185","0.505","0.682","0.155","0.141","0.027","0.018","0.02","0.013"
"ROM406","2013.0","10.0","03/05/2013 09:00:00","03/12/2013 08:00:00","0.193","0.57","0.605","0.256","0.857","0.231","0.181","0.039","0.024","0.025","0.013"
"ROM406","2015.0","11.0","03/10/2015 09:00:00","03/17/2015 08:00:00","0.209","0.303","0.202","0.39","0.586","0.094","0.115","0.025","0.014","0.018","0.013"
"ROM206","2014.0","11.0","03/11/2014 09:00:00","03/18/2014 08:00:00","0.15","0.28","0.101","0.164","0.263","0.097","0.079","0.034","0.011","0.011","0.018"
"ROM206","2018.0","11.0","03/13/2018 09:00:00","03/20/2018 08:00:00","0.147","0.285","0.211","0.344","0.549","0.141","0.067","0.021","0.01","0.013","0.013"
"ROM206","2016.0","13.0","03/22/2016 09:00:00","03/29/2016 08:00:00","0.162","0.329","0.243","0.241","0.48","0.141","0.065","0.024","0.011","0.011","0.016"
"ROM206","2018.0","13.0","03/27/2018 09:00:00","04/03/2018 08:00:00","0.112","0.398","0.213","0.265","0.474","0.13","0.173","0.041","0.025","0.022","0.013"
"ROM206","2016.0","10.0","03/01/2016 09:00:00","03/08/2016 08:00:00","0.183","0.287","0.272","0.172","0.442","0.114","0.101","0.051","0.013","0.015","0.012"
"ROM206","2018.0","12.0","03/20/2018 09:00:00","03/27/2018 08:00:00","0.095","0.284","0.295","0.228","0.519","0.139","0.082","0.021","0.013","0.013","0.013"
"ROM206","2016.0","11.0","03/08/2016 09:00:00","03/15/2016 08:00:00","0.165","0.229","0.115","0.266","0.377","0.092","0.066","0.016","0.009","0.01","0.013"
"ROM206","2015.0","10.0","03/03/2015 09:00:00","03/10/2015 08:00:00","0.335","0.601","0.344","0.425","0.763","0.239","0.144","0.049","0.027","0.027","0.013"
"ROM206","2013.0","10.0","03/05/2013 09:00:00","03/12/2013 08:00:00","0.175","0.52","0.449","0.188","0.633","0.19","0.165","0.036","0.021","0.022","0.013"
"ROM206","2016.0","14.0","03/29/2016 09:00:00","04/05/2016 08:00:00","0.157","0.27","0.092","0.209","0.297","0.111","0.044","0.014","0.008","0.009","0.013"
"ROM206","2014.0","10.0","03/04/2014 09:00:00","03/11/2014 08:00:00","0.118","0.258","0.092","0.151","0.241","0.095","0.064","0.026","0.01","0.014","0.02"
"ROM206","2017.0","13.0","03/28/2017 09:00:00","04/04/2017 08:00:00","0.224","0.2","0.091","0.207","0.295","0.087","0.033","0.011","0.006","0.009","0.013"
"ROM206","2016.0","12.0","03/15/2016 09:00:00","03/22/2016 08:00:00","0.168","0.338","0.125","0.269","0.389","0.133","0.082","0.021","0.011","0.013","0.013"
"ROM206","2014.0","13.0","03/25/2014 09:00:00","04/01/2014 08:00:00","0.158","0.494","0.174","0.242","0.412","0.193","0.112","0.02","0.014","0.02","0.013"
"ROM206","2015.0","12.0","03/17/2015 09:00:00","03/24/2015 08:00:00","0.272","0.426","0.176","0.455","0.624","0.145","0.133","0.026","0.017","0.018","0.013"
"ROM206","2013.0","13.0","03/26/2013 09:00:00","04/02/2013 08:00:00","0.122","0.652","0.513","0.394","0.901","0.268","0.127","0.032","0.023","0.024","0.013"
"ROM206","2013.0","11.0","03/12/2013 09:00:00","03/19/2013 08:00:00","0.122","0.4","0.225","0.236","0.457","0.141","0.129","0.041","0.02","0.02","0.013"
"ROM206","2015.0","14.0","03/31/2015 09:00:00","04/07/2015 08:00:00","0.249","0.667","0.505","0.295","0.796","0.232","0.314","0.112","0.039","0.034","0.036"
"ROM206","2014.0","12.0","03/18/2014 09:00:00","03/25/2014 08:00:00","0.216","0.605","0.382","0.301","0.678","0.277","0.107","0.023","0.015","0.018","0.013"
"ROM206","2017.0","12.0","03/21/2017 09:00:00","03/28/2017 08:00:00","0.304","0.331","0.494","0.298","0.787","0.228","0.086","0.015","0.009","0.015","0.013"
"ROM206","2015.0","11.0","03/10/2015 09:00:00","03/17/2015 08:00:00","0.239","0.326","0.199","0.417","0.609","0.097","0.106","0.025","0.013","0.017","0.012"
"ROM206","2015.0","13.0","03/24/2015 09:00:00","03/31/2015 08:00:00","0.234","0.258","0.086","0.232","0.315","0.098","0.112","0.025","0.014","0.013","0.012"
"ROM206","2018.0","10.0","03/06/2018 09:00:00","03/13/2018 08:00:00","0.188","0.274","0.499","0.285","0.779","0.195","0.081","0.026","0.012","0.019","0.015"
"ROM206","2017.0","10.0","03/07/2017 09:00:00","03/14/2017 08:00:00","0.341","0.255","0.13","0.31","0.435","0.108","0.07","0.017","0.01","0.019","0.013"
"ROM206","2013.0","12.0","03/19/2013 09:00:00","03/26/2013 08:00:00","0.187","0.799","0.22","0.162","0.379","0.267","0.09","0.035","0.017","0.026","0.014"
"ROM206","2017.0","11.0","03/14/2017 09:00:00","03/21/2017 08:00:00","0.524","0.579","0.227","0.339","0.561","0.236","0.143","0.036","0.017","0.026","0.012"
"YEL408","2015.0","13.0","03/24/2015 09:00:00","03/31/2015 08:00:00","0.672","0.219","0.181","0.209","0.387","0.107","0.193","0.01","0.019","0.023","0.014"
"YEL408","2018.0","11.0","03/13/2018 09:00:00","03/20/2018 08:00:00","0.484","0.16","0.07","0.119","0.187","0.083","0.021","0.008","0.004","0.009","0.019"
"YEL408","2014.0","11.0","03/11/2014 09:00:00","03/18/2014 08:00:00","0.474","0.298","0.167","0.178","0.342","0.117","0.066","0.034","0.01","0.013","0.014"
"YEL408","2018.0","12.0","03/20/2018 09:00:00","03/27/2018 08:00:00","0.358","0.208","0.1","0.128","0.225","0.09","0.029","0.011","0.006","0.008","0.016"
"YEL408","2014.0","12.0","03/18/2014 09:00:00","03/25/2014 08:00:00","1.36","0.678","0.228","0.143","0.368","0.288","0.108","0.027","0.017","0.024","0.014"
"YEL408","2018.0","13.0","03/27/2018 09:00:00","04/03/2018 08:00:00","0.332","0.36","0.229","0.077","0.305","0.134","0.126","0.022","0.023","0.024","0.017"
"YEL408","2016.0","11.0","03/08/2016 09:00:00","03/15/2016 08:00:00","0.882","0.175","0.075","0.103","0.176","0.056","0.038","0.013","0.007","0.007","0.007"
"YEL408","2017.0","13.0","03/28/2017 09:00:00","04/04/2017 08:00:00","0.674","0.239","0.052","0.126","0.176","0.094","0.039","0.007","0.007","0.011","0.013"
"YEL408","2014.0","10.0","03/04/2014 09:00:00","03/11/2014 08:00:00","0.204","0.208","0.074","0.108","0.181","0.087","0.025","0.009","0.005","0.007","0.013"
"YEL408","2015.0","14.0","03/31/2015 09:00:00","04/07/2015 08:00:00","0.598","0.533","0.23","0.08","0.309","0.186","0.188","0.035","0.024","0.033","0.019"
"YEL408","2016.0","12.0","03/15/2016 09:00:00","03/22/2016 08:00:00","0.955","0.175","0.065","0.101","0.164","0.056","0.036","0.01","0.007","0.007","0.007"
"YEL408","2013.0","11.0","03/12/2013 09:00:00","03/19/2013 08:00:00","0.269","0.411","0.26","0.187","0.444","0.147","0.097","0.041","0.02","0.025","0.014"
"YEL408","2017.0","12.0","03/21/2017 09:00:00","03/28/2017 08:00:00","","","","","","","","","","",""
"YEL408","2015.0","12.0","03/17/2015 09:00:00","03/24/2015 08:00:00","0.733","0.298","0.166","0.158","0.321","0.094","0.146","0.021","0.019","0.021","0.014"
"YEL408","2013.0","12.0","03/19/2013 09:00:00","03/26/2013 08:00:00","1.803","0.671","0.1","0.084","0.183","0.223","0.037","0.015","0.008","0.013","0.014"
"YEL408","2016.0","10.0","03/01/2016 09:00:00","03/08/2016 08:00:00","0.479","0.175","0.132","0.113","0.243","0.056","0.053","0.027","0.008","0.009","0.011"
"YEL408","2018.0","10.0","03/06/2018 09:00:00","03/13/2018 08:00:00","1.372","0.187","0.086","0.174","0.257","0.088","0.036","0.02","0.005","0.026","0.016"
"YEL408","2014.0","13.0","03/25/2014 09:00:00","04/01/2014 08:00:00","0.528","0.389","0.104","0.09","0.192","0.14","0.059","0.019","0.009","0.013","0.014"
"YEL408","2015.0","10.0","03/03/2015 09:00:00","03/10/2015 08:00:00","1.536","0.475","0.382","0.226","0.604","0.235","0.127","0.024","0.02","0.025","0.014"
"YEL408","2016.0","14.0","03/29/2016 09:00:00","04/05/2016 08:00:00","0.466","0.244","0.146","0.153","0.297","0.116","0.064","0.011","0.01","0.01","0.011"
"YEL408","2016.0","13.0","03/22/2016 09:00:00","03/29/2016 08:00:00","0.53","0.195","0.066","0.137","0.2","0.072","0.027","0.007","0.005","0.006","0.015"
"YEL408","2013.0","10.0","03/05/2013 09:00:00","03/12/2013 08:00:00","1.101","0.531","0.236","0.05","0.285","0.144","0.259","0.181","0.039","0.039","0.097"
"YEL408","2015.0","11.0","03/10/2015 09:00:00","03/17/2015 08:00:00","0.999","0.296","0.165","0.158","0.32","0.106","0.145","0.045","0.019","0.022","0.013"
"YEL408","2013.0","13.0","03/26/2013 09:00:00","04/02/2013 08:00:00","","","","","","","","","","",""
"GRS420","2017.0","13.0","03/28/2017 09:00:00","04/04/2017 08:00:00","0.489","0.971","0.076","0.967","1.028","0.222","0.101","0.113","0.026","0.059","0.022"
"GRS420","2014.0","13.0","03/25/2014 09:00:00","04/01/2014 08:00:00","0.759","1.467","0.107","1.364","1.449","0.482","0.118","0.038","0.022","0.036","0.016"
"GRS420","2018.0","11.0","03/13/2018 09:00:00","03/20/2018 08:00:00","","","","","","","","","","",""
"GRS420","2013.0","11.0","03/12/2013 09:00:00","03/19/2013 08:00:00","1.103","1.864","0.503","1.178","1.662","0.541","0.272","0.132","0.038","0.056","0.017"
"GRS420","2014.0","12.0","03/18/2014 09:00:00","03/25/2014 08:00:00","1.365","1.759","0.81","1.39","2.178","0.667","0.286","0.046","0.032","0.054","0.016"
"GRS420","2018.0","10.0","03/06/2018 09:00:00","03/13/2018 08:00:00","","","","","","","","","","",""
"GRS420","2013.0","13.0","03/26/2013 09:00:00","04/02/2013 08:00:00","1.798","2.178","0.744","1.315","2.038","0.861","0.143","0.029","0.02","0.036","0.016"
"GRS420","2016.0","14.0","03/29/2016 09:00:00","04/05/2016 08:00:00","0.472","0.982","0.301","0.688","0.977","0.325","0.204","0.113","0.036","0.052","0.016"
"GRS420","2015.0","12.0","03/17/2015 09:00:00","03/24/2015 08:00:00","0.762","1.419","0.174","1.006","1.164","0.391","0.198","0.023","0.027","0.043","0.016"
"GRS420","2016.0","13.0","03/22/2016 09:00:00","03/29/2016 08:00:00","0.393","1.16","0.282","0.881","1.149","0.321","0.178","0.106","0.032","0.077","0.016"
"GRS420","2015.0","11.0","03/10/2015 09:00:00","03/17/2015 08:00:00","0.586","0.806","0.141","0.816","0.944","0.296","0.079","0.031","0.013","0.033","0.019"
"GRS420","2016.0","11.0","03/08/2016 09:00:00","03/15/2016 08:00:00","0.33","1.27","1.048","0.5","1.54","0.17","0.199","0.59","0.083","0.068","0.152"
"GRS420","2017.0","12.0","03/21/2017 09:00:00","03/28/2017 08:00:00","0.48","1.235","0.611","0.661","1.261","0.241","0.144","0.501","0.072","0.065","0.21"
"GRS420","2016.0","12.0","03/15/2016 09:00:00","03/22/2016 08:00:00","0.618","1.16","0.703","0.658","1.351","0.356","0.321","0.064","0.04","0.046","0.018"
"GRS420","2018.0","12.0","03/20/2018 09:00:00","03/27/2018 08:00:00","","","","","","","","","","",""
"GRS420","2013.0","10.0","03/05/2013 09:00:00","03/12/2013 08:00:00","0.875","2.087","0.213","1.381","1.571","0.704","0.084","0.093","0.021","0.032","0.052"
"GRS420","2015.0","14.0","03/31/2015 09:00:00","04/07/2015 08:00:00","0.394","1.128","0.11","0.982","1.077","0.127","0.169","0.162","0.041","0.058","0.008"
"GRS420","2017.0","11.0","03/14/2017 09:00:00","03/21/2017 08:00:00","0.807","1.338","0.223","1.268","1.472","0.386","0.153","0.102","0.027","0.046","0.016"
"GRS420","2015.0","13.0","03/24/2015 09:00:00","03/31/2015 08:00:00","0.637","1.175","0.301","0.945","1.231","0.373","0.151","0.069","0.028","0.039","0.016"
"GRS420","2016.0","10.0","03/01/2016 09:00:00","03/08/2016 08:00:00","0.277","1.35","0.238","1.184","1.403","0.492","0.083","0.046","0.013","0.032","0.016"
"GRS420","2015.0","10.0","03/03/2015 09:00:00","03/10/2015 08:00:00","0.504","1.048","0.223","0.626","0.838","0.35","0.089","0.088","0.019","0.031","0.021"
"GRS420","2018.0","13.0","03/27/2018 09:00:00","04/03/2018 08:00:00","","","","","","","","","","",""
"GRS420","2017.0","10.0","03/07/2017 09:00:00","03/14/2017 08:00:00","0.541","0.126","0.105","0.563","0.659","0.056","0.061","0.013","0.013","0.015","0.02"
"GRS420","2014.0","10.0","03/04/2014 09:00:00","03/11/2014 08:00:00","1.715","2.1","0.512","1.772","2.256","0.859","0.13","0.051","0.017","","0.016"
"GRS420","2013.0","12.0","03/19/2013 09:00:00","03/26/2013 08:00:00","1.239","1.63","0.803","0.647","1.44","0.611","0.198","0.03","0.022","0.034","0.016"
"GRS420","2014.0","11.0","03/11/2014 09:00:00","03/18/2014 08:00:00","0.934","1.261","0.385","0.799","1.172","0.488","0.146","0.044","0.018","0.04","0.016"
"GRC474","2017.0","13.0","03/28/2017 09:00:00","04/04/2017 08:00:00","0.414","0.428","0.165","0.165","0.327","0.094","0.173","0.037","0.026","0.02","0.014"
"GRC474","2013.0","10.0","03/05/2013 09:00:00","03/12/2013 08:00:00","0.194","0.424","0.258","0.283","0.536","0.151","0.138","0.053","0.025","0.022","0.014"
"GRC474","2018.0","13.0","03/27/2018 09:00:00","04/03/2018 08:00:00","0.155","0.39","0.185","0.331","0.51","0.129","0.218","0.058","0.029","0.026","0.014"
"GRC474","2017.0","11.0","03/14/2017 09:00:00","03/21/2017 08:00:00","0.617","0.689","0.123","0.489","0.604","0.281","0.129","0.026","0.014","0.028","0.013"
"GRC474","2015.0","12.0","03/17/2015 09:00:00","03/24/2015 08:00:00","0.352","0.554","0.2","0.427","0.621","0.204","0.22","0.053","0.032","0.027","0.014"
"GRC474","2014.0","10.0","03/04/2014 09:00:00","03/11/2014 08:00:00","0.157","0.356","0.082","0.236","0.314","0.077","0.105","0.163","0.014","0.013","0.076"
"GRC474","2018.0","12.0","03/20/2018 09:00:00","03/27/2018 08:00:00","0.131","0.274","0.191","0.219","0.406","0.108","0.115","0.049","0.016","0.015","0.022"
"GRC474","2014.0","12.0","03/18/2014 09:00:00","03/25/2014 08:00:00","0.223","0.451","0.28","0.466","0.739","0.164","0.198","0.074","0.028","0.022","0.015"
"GRC474","2013.0","12.0","03/19/2013 09:00:00","03/26/2013 08:00:00","0.337","0.92","0.193","0.289","0.477","0.298","0.236","0.064","0.043","0.039","0.014"
"GRC474","2017.0","12.0","03/21/2017 09:00:00","03/28/2017 08:00:00","0.342","0.296","0.158","0.187","0.342","0.107","0.102","0.04","0.014","0.012","0.014"
"GRC474","2015.0","14.0","03/31/2015 09:00:00","04/07/2015 08:00:00","0.318","0.939","0.44","0.32","0.756","0.289","0.511","0.225","0.073","0.056","0.099"
"GRC474","2016.0","10.0","03/01/2016 09:00:00","03/08/2016 08:00:00","0.436","0.48","0.305","0.555","0.851","0.142","0.412","0.121","0.055","0.04","0.069"
"GRC474","2015.0","10.0","03/03/2015 09:00:00","03/10/2015 08:00:00","0.315","0.44","0.241","0.286","0.522","0.302","0.275","0.08","0.045","0.035","0.026"
"GRC474","2015.0","11.0","03/10/2015 09:00:00","03/17/2015 08:00:00","0.304","0.513","0.212","0.556","0.759","0.195","0.169","0.038","0.022","0.027","0.013"
"GRC474","2014.0","11.0","03/11/2014 09:00:00","03/18/2014 08:00:00","0.182","0.551","0.287","0.208","0.491","0.138","0.37","0.163","0.035","0.028","0.056"
"GRC474","2018.0","11.0","03/13/2018 09:00:00","03/20/2018 08:00:00","0.134","0.236","0.279","0.135","0.412","0.071","0.196","0.073","0.026","0.021","0.037"
"GRC474","2013.0","13.0","03/26/2013 09:00:00","04/02/2013 08:00:00","0.273","0.723","0.352","0.556","0.898","0.235","0.199","0.079","0.034","0.033","0.014"
"GRC474","2018.0","10.0","03/06/2018 09:00:00","03/13/2018 08:00:00","0.169","0.144","0.073","0.266","0.335","0.067","0.062","0.011","0.01","0.011","0.014"
"GRC474","2016.0","12.0","03/15/2016 09:00:00","03/22/2016 08:00:00","0.139","0.537","0.279","0.204","0.479","0.162","0.312","0.079","0.049","0.033","0.029"
"GRC474","2013.0","11.0","03/12/2013 09:00:00","03/19/2013 08:00:00","0.143","0.445","0.173","0.388","0.555","0.131","0.178","0.061","0.032","0.027","0.019"
"GRC474","2014.0","13.0","03/25/2014 09:00:00","04/01/2014 08:00:00","0.14","0.617","0.333","0.193","0.523","0.196","0.287","0.086","0.031","0.031","0.015"
"GRC474","2016.0","11.0","03/08/2016 09:00:00","03/15/2016 08:00:00","0.213","0.286","0.293","0.167","0.458","0.09","0.182","0.105","0.029","0.02","0.064"
"GRC474","2016.0","14.0","03/29/2016 09:00:00","04/05/2016 08:00:00","0.161","0.241","0.129","0.224","0.349","0.095","0.118","0.033","0.016","0.012","0.014"
"GRC474","2015.0","13.0","03/24/2015 09:00:00","03/31/2015 08:00:00","0.176","0.318","0.113","0.495","0.6","0.107","0.208","0.045","0.028","0.072","0.014"
"GRC474","2016.0","13.0","03/22/2016 09:00:00","03/29/2016 08:00:00","0.193","0.353","0.28","0.155","0.433","0.118","0.38","0.123","0.05","0.035","0.113"
"GRC474","2017.0","10.0","03/07/2017 09:00:00","03/14/2017 08:00:00","0.135","0.181","0.055","0.254","0.306","0.075","0.083","0.012","0.011","0.013","0.014"
"YOS404","2013.0","10.0","03/05/2013 09:00:00","03/12/2013 08:00:00","0.131","0.396","0.307","0.381","0.682","0.1","0.063","0.122","0.024","0.023","0.015"
"YOS404","2014.0","10.0","03/04/2014 09:00:00","03/11/2014 08:00:00","0.122","0.328","0.207","0.147","0.352","0.105","0.063","0.109","0.021","0.037","0.062"
"YOS404","2014.0","12.0","03/18/2014 09:00:00","03/25/2014 08:00:00","","","","","","","","","","",""
"YOS404","2016.0","13.0","03/22/2016 09:00:00","03/29/2016 08:00:00","","","","","","","","","","",""
"YOS404","2018.0","13.0","03/27/2018 09:00:00","04/03/2018 08:00:00","0.181","0.437","0.218","0.314","0.527","0.191","0.077","0.053","0.018","0.035","0.015"
"YOS404","2016.0","14.0","03/29/2016 09:00:00","04/05/2016 08:00:00","0.23","0.4","0.39","0.298","0.683","0.183","0.061","0.149","0.021","0.028","0.015"
"YOS404","2018.0","10.0","03/06/2018 09:00:00","03/13/2018 08:00:00","","","","","","","","","","",""
"YOS404","2013.0","13.0","03/26/2013 09:00:00","04/02/2013 08:00:00","0.176","0.548","0.241","0.481","0.714","0.146","0.082","0.067","0.021","0.028","0.015"
"YOS404","2018.0","11.0","03/13/2018 09:00:00","03/20/2018 08:00:00","0.193","0.111","0.094","0.14","0.231","0.06","0.019","0.043","0.01","0.018","0.046"
"YOS404","2015.0","11.0","03/10/2015 09:00:00","03/17/2015 08:00:00","0.371","0.473","0.235","0.436","0.664","0.204","0.115","0.039","0.018","0.026","0.014"
"YOS404","2015.0","12.0","03/17/2015 09:00:00","03/24/2015 08:00:00","0.368","0.439","0.198","0.499","0.689","0.12","0.078","0.081","0.023","0.033","0.015"
"YOS404","2014.0","11.0","03/11/2014 09:00:00","03/18/2014 08:00:00","0.235","0.566","0.246","0.269","0.51","0.174","0.206","0.095","0.033","0.032","0.031"
"YOS404","2014.0","13.0","03/25/2014 09:00:00","04/01/2014 08:00:00","0.128","0.531","0.256","0.179","0.432","0.145","0.049","0.108","0.02","0.023","0.027"
"YOS404","2017.0","10.0","03/07/2017 09:00:00","03/14/2017 08:00:00","0.392","0.287","0.071","0.14","0.209","0.128","0.051","0.019","0.008","0.022","0.015"
"YOS404","2013.0","11.0","03/12/2013 09:00:00","03/19/2013 08:00:00","0.137","0.527","0.217","0.271","0.484","0.166","0.133","0.061","0.024","0.031","0.014"
"YOS404","2017.0","11.0","03/14/2017 09:00:00","03/21/2017 08:00:00","0.472","0.908","0.552","0.568","1.111","0.441","0.117","0.046","0.02","0.05","0.016"
"YOS404","2017.0","12.0","03/21/2017 09:00:00","03/28/2017 08:00:00","0.655","0.238","0.086","0.113","0.198","0.093","0.035","0.044","0.011","0.014","0.036"
"YOS404","2017.0","13.0","03/28/2017 09:00:00","04/04/2017 08:00:00","0.403","0.899","0.057","0.27","0.323","0.324","0.072","0.034","0.017","0.031","0.015"
"YOS404","2016.0","10.0","03/01/2016 09:00:00","03/08/2016 08:00:00","0.179","0.211","0.069","0.138","0.205","0.027","0.042","0.079","0.015","0.016","0.06"
"YOS404","2015.0","10.0","03/03/2015 09:00:00","03/10/2015 08:00:00","0.284","0.395","0.175","0.284","0.455","0.151","0.138","0.056","0.024","0.031","0.014"
"YOS404","2018.0","12.0","03/20/2018 09:00:00","03/27/2018 08:00:00","0.111","0.154","0.106","0.064","0.169","0.041","0.027","0.068","0.011","0.012","0.029"
"YOS404","2013.0","12.0","03/19/2013 09:00:00","03/26/2013 08:00:00","0.419","1.486","0.272","0.299","0.566","0.457","0.152","0.051","0.035","0.05","0.015"
"YOS404","2015.0","14.0","03/31/2015 09:00:00","04/07/2015 08:00:00","0.395","0.908","0.347","0.267","0.609","0.233","0.141","0.105","0.035","0.053","0.03"
"YOS404","2015.0","13.0","03/24/2015 09:00:00","03/31/2015 08:00:00","0.403","0.384","0.215","0.348","0.558","0.17","0.085","0.069","0.019","0.031","0.014"
"YOS404","2016.0","12.0","03/15/2016 09:00:00","03/22/2016 08:00:00","","","","","","","","","","",""
"YOS404","2016.0","11.0","03/08/2016 09:00:00","03/15/2016 08:00:00","","","","","","","","","","",""
"ROM406","2015.0","16.0","04/14/2015 09:00:00","04/21/2015 08:00:00","","","","","","","","","","",""
"ROM406","2017.0","15.0","04/11/2017 09:00:00","04/18/2017 08:00:00","0.303","0.709","0.335","0.468","0.796","0.238","0.313","0.057","0.05","0.05","0.013"
"ROM406","2017.0","16.0","04/18/2017 09:00:00","04/25/2017 08:00:00","0.19","0.307","0.175","0.321","0.491","0.104","0.105","0.017","0.016","0.024","0.013"
"ROM406","2016.0","17.0","04/19/2016 09:00:00","04/26/2016 08:00:00","0.15","0.365","0.172","0.422","0.587","0.158","0.098","0.023","0.014","0.014","0.013"
"ROM406","2014.0","17.0","04/22/2014 09:00:00","04/29/2014 08:00:00","","","","","","","","","","",""
"ROM406","2015.0","18.0","04/28/2015 09:00:00","05/05/2015 08:00:00","0.102","0.494","0.228","0.371","0.594","0.201","0.093","0.016","0.015","0.014","0.013"
"ROM406","2017.0","17.0","04/25/2017 09:00:00","05/02/2017 08:00:00","0.204","0.342","0.121","0.214","0.332","0.146","0.028","0.006","0.006","0.007","0.013"
"ROM406","2015.0","17.0","04/21/2015 09:00:00","04/28/2015 08:00:00","0.086","0.512","0.343","0.246","0.585","0.168","0.119","0.041","0.022","0.026","0.014"
"ROM406","2013.0","17.0","04/23/2013 09:00:00","04/30/2013 08:00:00","0.204","0.888","0.304","0.402","0.7","0.28","0.264","0.055","0.045","0.037","0.013"
"ROM406","2018.0","14.0","04/03/2018 09:00:00","04/10/2018 08:00:00","0.093","0.279","0.188","0.117","0.303","0.084","0.126","0.02","0.019","0.019","0.013"
"ROM406","2013.0","16.0","04/16/2013 09:00:00","04/23/2013 08:00:00","0.115","0.617","0.261","0.181","0.439","0.242","0.106","0.014","0.014","0.016","0.016"
"ROM406","2014.0","14.0","04/01/2014 09:00:00","04/08/2014 08:00:00","0.155","0.656","0.161","0.201","0.359","0.258","0.098","0.018","0.011","0.015","0.013"
