"SITE_ID","YEAR","WEEK","DATEON","DATEOFF","SO2_CONC","SO4_CONC","NO3_CONC","HNO3_CONC","TNO3_CONC","NH4_CONC","CA_CONC","NA_CONC","MG_CONC","K_CONC","CL_CONC"
"YEL408","2014.0","36.0","09/02/2014 09:00:00","09/09/2014 08:00:00","0.572","0.299","0.169","0.108","0.276","0.138","0.163","0.034","0.021","0.036","0.013"
"YEL408","2015.0","36.0","09/01/2015 09:00:00","09/08/2015 08:00:00","0.408","0.4","0.263","0.146","0.407","0.159","0.22","0.088","0.034","0.034","0.047"
"YEL408","2016.0","38.0","09/13/2016 09:00:00","09/20/2016 08:00:00","0.305","0.21","0.086","0.218","0.301","0.113","0.096","0.017","0.012","0.025","0.015"
"YEL408","2013.0","38.0","09/17/2013 09:00:00","09/24/2013 08:00:00","0.264","0.4","0.143","0.128","0.268","0.176","0.151","0.039","0.02","0.024","0.017"
"YEL408","2015.0","39.0","09/22/2015 09:00:00","09/29/2015 08:00:00","0.843","0.391","0.173","0.236","0.405","0.177","0.174","0.032","0.023","0.03","0.013"
"YEL408","2013.0","37.0","09/10/2013 09:00:00","09/17/2013 08:00:00","0.513","0.389","0.061","0.127","0.186","0.184","0.036","0.006","0.007","0.02","0.013"
"YEL408","2014.0","38.0","09/16/2014 09:00:00","09/23/2014 08:00:00","0.619","0.421","0.108","0.194","0.299","0.184","0.097","0.025","0.013","0.046","0.013"
"YEL408","2017.0","36.0","09/05/2017 09:00:00","09/12/2017 08:00:00","1.573","0.524","0.177","0.257","0.43","0.327","0.235","0.033","0.029","0.107","0.017"
"YEL408","2015.0","38.0","09/15/2015 09:00:00","09/22/2015 08:00:00","0.323","0.212","0.054","0.202","0.252","0.106","0.044","0.008","0.007","0.014","0.013"
"YEL408","2017.0","38.0","09/19/2017 09:00:00","09/26/2017 08:00:00","0.479","0.165","0.053","0.088","0.139","0.094","0.04","0.009","0.006","0.012","0.016"
"GRS420","2016.0","39.0","09/20/2016 09:00:00","09/27/2016 08:00:00","0.457","1.277","0.166","0.94","1.091","0.411","0.143","0.044","0.028","0.04","0.015"
"GRS420","2016.0","37.0","09/06/2016 09:00:00","09/13/2016 08:00:00","0.297","1.173","0.089","1.134","1.204","0.349","0.239","0.066","0.039","0.062","0.015"
"GRS420","2017.0","37.0","09/12/2017 09:00:00","09/19/2017 08:00:00","0.215","1.736","0.221","0.757","0.966","0.639","0.15","0.024","0.022","0.057","0.013"
"GRS420","2016.0","38.0","09/13/2016 09:00:00","09/20/2016 08:00:00","0.399","1.254","0.193","0.808","0.989","0.346","0.106","0.115","0.027","0.053","0.015"
"GRS420","2013.0","36.0","09/03/2013 09:00:00","09/10/2013 08:00:00","0.518","3.293","0.32","1.175","1.476","1.135","0.262","0.017","0.042","0.069","0.015"
"GRS420","2015.0","40.0","09/29/2015 09:00:00","10/06/2015 08:00:00","0.243","0.227","0.09","0.22","0.307","0.057","0.023","0.042","0.009","0.018","0.016"
"GRS420","2016.0","40.0","09/27/2016 09:00:00","10/04/2016 08:00:00","0.349","1.282","0.201","1.017","1.202","0.409","0.223","0.015","0.031","0.049","0.015"
"GRS420","2014.0","40.0","09/30/2014 09:00:00","10/07/2014 08:00:00","0.512","1.832","0.194","0.716","0.899","0.542","0.201","0.025","0.028","0.06","0.016"
"GRS420","2017.0","36.0","09/05/2017 09:00:00","09/12/2017 08:00:00","0.504","1.038","0.357","0.534","0.882","0.401","0.337","0.015","0.055","0.052","0.018"
"GRS420","2015.0","39.0","09/22/2015 09:00:00","09/29/2015 08:00:00","0.288","0.609","0.105","0.569","0.665","0.166","0.095","0.033","0.02","0.034","0.015"
"GRS420","2015.0","38.0","09/15/2015 09:00:00","09/22/2015 08:00:00","0.346","1.223","0.138","1.092","1.213","0.29","0.178","0.052","0.035","0.053","0.015"
